Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,452022,27539,555443,38585,123244,-393652,1
2022,288208,-144469,533775,35572,77050,-421191,1
2021,480872,0,678558,37398,364476,-276722,1
2020,677963,-82750,579560,37984,435499,-106115,2
2019,977169,150753,462383,34656,404362,-23365,3
2018,754353,100801,568196,17516,376563,-174117,3
2017,332360,-170451,697334,21815,399041,-274918,2
2016,940009,9971,671719,22883,542809,-104467,2
2015,1736186,150968,811012,32972,661928,-114439,2
2014,810906,-61711,439987,38082,133935,-265406,2
2013,930150,-80888,460616,77312,177164,-203695,4
2012,840479,-48753,325854,73894,124063,-122807,4
2011,1168586,-28865,329731,103830,143168,-74054,3
2010,953611,38675,275014,123437,93548,-45189,2
2009,668610,-43683,203124,52997,62376,-83864,0
2008,844229,-29764,161154,60350,52694,-40181,3
2007,65506,-10617,30420,5544,14459,-10417,2
