Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,80408,11181,80619,2404,123908,45693,0
2022,105483,36404,92140,1214,125439,34513,0
2021,63205,9781,78620,2540,74189,-1891,0
2020,39621,11358,51994,0,40323,-11671,0
2019,91505,-107501,46914,750,23135,-23029,1
2018,64451,-63620,34510,11705,107078,84273,0
2017,54608,28573,11574,18910,140604,147940,1
2016,128446,46468,15164,28364,116693,129893,1
2015,86228,57610,39399,37819,94191,93683,1
2014,65346,36182,64456,0,100529,36073,1
2013,45179,16267,66291,0,66182,-109,1
2012,12115,1951,57838,0,41462,-16376,1
2011,3905,-18527,30658,277,12054,-18327,1
