Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,3279789688,226821969,672250731,919603877,1501319694,1015452854,"14,189"
2022,3128971706,331969434,588837411,863471136,1521575713,1105279681,"14,262"
2021,2297971390,19321232,503577563,813517400,930676153,787354452,"14,617"
2020,1835306631,7317757,432737381,873629948,773130062,777443084,"15,248"
2019,2036205388,76192125,416971553,956411122,816079363,786330865,"16,484"
2018,2294662560,178236767,442763146,1008516822,1009986807,1002995798,"16,485"
2017,1961436898,248846470,395107085,958455586,936911808,999361362,"16,246"
2016,1690752693,210158774,341605603,958596025,847277974,948812996,"16,318"
2015,1588255050,157014088,312660911,1014606936,723118269,915770357,"16,488"
2014,1517727691,103085616,342346981,3039466418,624537992,2838520802,"16,706"
2013,1439685652,69643564,305434010,2944957252,599687111,1313598492,"17,934"
2012,1296656577,58929364,340663344,2833531610,561566739,2549734624,"18,256"
2011,1204391260,20787107,305510763,2595701429,465704405,1196390307,"18,601"
2010,1104592516,1024431,302868952,2436368793,435490135,1173393637,"19,131"
2009,1076106206,17256401,344969209,2343294462,423173612,2078475113,"19,605"
2008,1149310173,21241774,322249546,2200958384,383566823,1905548511,"20,905"
2007,1103434376,60248296,558925711,2046433374,379463749,1851481477,"22,186"
2006,997384289,54022795,207644727,1905932119,314990549,1751064256,"23,832"
2005,963529614,70072392,180797031,1483938302,282243659,1355570706,"25,702"
2023,31741099,13167468,3923196,194330417,24962585,201907535,10
2022,29583004,14435067,4063082,194218002,22293974,198634867,10
2021,17730085,7223887,3491360,195129186,13156011,190122040,9
2020,13983197,4201915,2652226,196008743,9938978,187668683,8
2019,17291454,5958957,2545768,188717241,19197106,189201927,11
2018,18504014,7046088,2391636,186765909,15985142,188789590,11
2017,17608802,5487719,3319463,186538123,12175997,186543502,10
2016,14808006,4369768,3402807,186342606,19674484,189055783,11
2015,12668961,3074378,3568826,186496598,10909691,184649651,9
2014,13656028,2311802,1977611,178415665,11074876,179325573,9
2013,10241996,1646001,2780361,173878167,8198641,177013771,10
2012,8808059,1156253,1997440,172079196,7443043,175008994,5
2011,3961961,-412651,1485921,167905630,6469282,170670323,2
2010,3383680,-1360863,7423204,165720863,4405604,161360277,1
2009,2613837,-2132722,738830,158502700,3251135,160374684,1
2023,4835399,1032076,348003,784529,2880911,2675211,17
2022,5409261,1260397,502380,474714,3219276,2643135,17
2021,3648164,960259,371670,187912,2330160,1571431,17
2020,2331615,197607,300180,160213,1413076,720003,18
2019,2320347,139467,301339,197679,1226795,633563,19
2018,2916688,460759,338604,224731,1531149,952634,19
2017,3007956,782651,315538,120650,1889523,1249331,19
2016,2567871,862213,352380,96733,1933852,1265318,21
2015,2232265,594051,212442,109595,1481379,987075,21
2014,2549699,910123,247307,126666,1774601,1278800,21
2013,1939971,463868,256827,88604,1293259,768677,21
2012,1838491,254144,175005,104861,926592,514991,21
2011,1693685,350753,160829,122967,776581,462370,20
2010,1475770,245190,189387,14929,705310,339091,20
2009,1415243,308296,152843,7278,654122,367767,21
2008,1539014,466857,136748,53339,785927,545108,21
2007,225916,3111,266653,72164,275851,81362,19
2023,33883844,5294485,7697282,14884913,19482044,27376475,124
2022,30071816,8437121,11469167,11968200,20138090,22219169,134
2021,30319685,10387274,2572263,10430671,15680729,24982282,159
2020,25931337,8125856,3318726,9377275,12082431,18482058,148
2019,18600090,2797213,4475203,9904260,6813929,12242756,166
2018,12478893,51139,4288402,8724227,5185037,9609209,169
2017,13588556,218739,2592362,8009488,4608948,9711886,187
2016,15448523,2009927,2888877,8374799,5869167,10926005,215
2015,14369067,1122736,1919713,9056308,5674236,12328711,193
2014,13555238,1707364,1723280,8279442,6438380,12397213,176
2013,12237489,59235,1922354,9157576,4759586,11287279,188
2012,12164646,369952,1412721,8167136,5222152,11296786,193
2011,12035318,1128901,1919789,7800823,5330640,10926834,182
2010,8642416,264832,3657055,6570172,6642469,9553700,175
2009,8813237,209142,3689980,7386162,6327272,10337080,203
2008,14340814,2004645,3632897,7123238,6249065,10127438,244
2007,12034738,1997343,4132061,6760015,8589643,11217597,246
2006,9676298,1565836,3419210,5260653,6709941,8908674,245
2005,9903279,2789573,2202171,4788681,4997932,7795219,231
2023,14991994,310531,568048,310848,1724241,1369128,5
2022,20514421,312509,1404297,268167,2212962,1078161,5
2021,13200054,201026,1449244,272448,1960336,765652,5
2020,7451523,108390,1516727,366309,1762338,564626,5
2019,8614095,110750,955382,293064,1191404,456236,7
2018,6930081,91133,1101585,356083,1192421,347898,7
2017,6029740,70420,581032,364985,596211,256766,7
2016,2911973,22426,466848,377356,483614,246346,9
2015,3234796,33066,698396,412494,681518,223920,8
2014,2816402,20687,467656,581606,404873,322373,9
2013,2782670,5953,641582,283772,604157,246347,6
2012,1414473,1404,777565,315120,702314,240395,6
2011,3987394,29924,928421,335932,883159,290670,7
2010,5304449,45437,773903,180227,688976,95300,7
2009,2835716,18157,849811,157443,742231,49863,6
2008,2548069,201,802210,186121,647191,31705,6
2007,3292531,9918,768239,234907,564836,31504,5
2006,1260471,1814,484717,340361,165742,21586,7
2005,1950936,12525,627393,340457,295809,19772,5
2023,3019678,0,3303563,4150665,12959572,3038633,19
2022,2424131,0,6094464,3795409,7272934,3038633,19
2021,2065809,0,1165272,3363927,1605916,3038633,17
2020,1661246,0,759934,3105818,694772,3038633,18
2019,1622914,0,604051,3126153,519292,0,17
