Year,Cifra Afaceri,Profit Net,Datorii,Active Imobilizate,Active Circulante,Capitaluri Proprii,Angajati
2023,63444768,2982433,26491228,19066567,17591210,9766807,170
2022,55109465,916086,25052723,17074740,15188263,6810585,160
2021,44631248,986483,23088332,13397953,16573160,6310982,152
2020,49166843,6071909,14339932,10750068,11944574,7685408,152
2019,29251248,1079925,11011307,7155761,6855588,2243424,130
2018,23404811,138488,9643796,7477963,5655260,2471410,122
2017,19957132,298811,8095676,5733777,6131054,2459239,104
2016,15997000,307132,5260108,4737143,4499533,2276427,82
2015,12295064,546625,4156005,4010531,3614104,1974928,75
2014,8643607,84668,3151337,3684116,2150629,1511513,67
2013,7086668,14827,3294069,3901478,2076204,1432744,50
2012,8214937,278621,3700431,3447178,2876287,1432039,49
2011,7050282,207116,2521360,2360073,2884060,1161731,44
2010,5646334,193825,1445313,1539258,1031580,971283,39
2009,4631253,200125,1043309,1140244,886332,827458,35
2008,4863164,226940,981189,892303,841292,598763,32
2007,3530668,249094,1330547,935558,803062,408073,34
2006,2634591,85315,735998,370453,537456,177058,28
2005,1863392,11240,775139,388564,442008,63846,27
2023,5524136,37087,3585659,3387177,1748080,1572969,8
2022,6047939,13014,3925617,3530449,2022670,1535882,8
2021,5677932,42606,4815419,3229736,3548215,1522868,8
2020,4280955,3546,3062696,2930763,2450624,1480262,8
2019,5009044,345380,4417052,3881256,2831339,1476716,8
2018,4976735,506602,2109723,1402026,2682637,1131336,7
2017,3319924,374559,1747589,660055,1712487,649408,4
2016,1609738,109807,1479372,598155,1144779,274850,3
2015,1817637,58560,1068676,404740,814883,167788,2
2014,1765481,68789,757124,245353,614846,109228,2
2013,922570,3303,717970,233661,524749,40440,2
2012,618657,652,388248,80326,268058,-39864,0
2011,346399,44165,190692,2068,148108,-40516,0
2010,120658,-41919,163118,0,78438,-84680,0
2009,13555,-14155,44758,0,497,-44261,1
2008,64883,-6300,70424,30809,9509,-30106,1
2007,20227,-6463,74282,40054,10422,-23806,1
2006,13697,1089,27119,2843,6736,-17343,0
2005,10155,-139,33181,3849,10899,-18433,0
2023,82199528,7139364,15880655,16557904,27312838,27990087,90
2022,93468046,7809331,21107907,14332845,28618185,21843123,90
2021,83075456,7205348,14963753,4157956,33365905,22560108,90
2020,59199496,4575883,11203052,5045364,25150706,18958540,87
2019,58399639,4327443,11236143,5494765,21608191,15866813,92
2018,57118350,4001859,12048468,7847064,23319723,19118319,90
2017,55039245,4393632,10623019,7347979,20893153,17590144,89
2016,52490600,4163595,10840001,6628880,17523241,13189767,84
